Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume
7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",2531792.714
7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",2507281.391
7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",2428319.985
7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",2422409.227
7,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",2415957.1769999997
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",1.490922408
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",1.372390266
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",1.315863411
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",1.26964939
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",1.252933261
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",1.239903723
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",1.243979009
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",1.225845521
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",1.225371781
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",1.202578767
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",1.333141344
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",1.398380911
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",1.473054979
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",1.655613159
1,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",1.799331458
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",13.96896815
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",14.09511555
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",14.8670674
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",15.75953766
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",18.52082419
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",22.3242736
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",28.22874142
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",36.11766111
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",46.25140641
